timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1544565971646,1900,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,397,1,1,http://localhost:8000/dashboard,,1883,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565973545,1778,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,924,1,1,http://localhost:8000/dashboard,,1768,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565975324,1766,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,924,1,1,http://localhost:8000/dashboard,,1744,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565977090,1733,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,924,1,1,http://localhost:8000/dashboard,,1723,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565978824,1891,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,926,1,1,http://localhost:8000/dashboard,,1868,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565980716,1890,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,918,1,1,http://localhost:8000/dashboard,,1875,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565982606,1846,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1844,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565984452,1815,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,920,1,1,http://localhost:8000/dashboard,,1792,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565986268,1800,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,924,1,1,http://localhost:8000/dashboard,,1790,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565988068,1822,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,920,1,1,http://localhost:8000/dashboard,,1812,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565989890,1937,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,924,1,1,http://localhost:8000/dashboard,,1918,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565991828,1840,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,928,1,1,http://localhost:8000/dashboard,,1830,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565993669,1710,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,926,1,1,http://localhost:8000/dashboard,,1700,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565995379,1801,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,920,1,1,http://localhost:8000/dashboard,,1791,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544565997180,1721,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,924,1,1,http://localhost:8000/dashboard,,1711,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544565998901,1778,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,928,1,1,http://localhost:8000/dashboard,,1768,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566000680,1892,HTTP Request,200,OK,Thread Group 2-1,text,true,,235193,920,1,1,http://localhost:8000/dashboard,,1877,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566002572,1906,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,930,1,1,http://localhost:8000/dashboard,,1897,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566004479,1821,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1812,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566006301,1733,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1723,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566008035,1866,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,920,1,1,http://localhost:8000/dashboard,,1856,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566009901,1921,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,918,1,1,http://localhost:8000/dashboard,,1905,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566011823,1786,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,918,1,1,http://localhost:8000/dashboard,,1762,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566013609,1815,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,924,1,1,http://localhost:8000/dashboard,,1802,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566015425,1756,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,1744,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566017182,1796,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1787,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566018979,2024,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,922,1,1,http://localhost:8000/dashboard,,2012,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566021003,1888,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,918,1,1,http://localhost:8000/dashboard,,1877,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566022892,1866,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,924,1,1,http://localhost:8000/dashboard,,1854,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566024758,1913,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,918,1,1,http://localhost:8000/dashboard,,1900,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566026672,1895,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,918,1,1,http://localhost:8000/dashboard,,1885,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566028567,1911,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1901,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566030479,2032,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,2009,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566032512,1734,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1723,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566034246,1732,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,920,1,1,http://localhost:8000/dashboard,,1722,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566035979,1766,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,918,1,1,http://localhost:8000/dashboard,,1757,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566037746,2021,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,918,1,1,http://localhost:8000/dashboard,,2011,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566039768,1811,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,1800,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566041579,1782,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,922,1,1,http://localhost:8000/dashboard,,1757,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566043362,1768,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,926,1,1,http://localhost:8000/dashboard,,1755,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566045130,1855,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1824,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566046986,1859,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,922,1,1,http://localhost:8000/dashboard,,1849,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566048845,1788,HTTP Request,200,OK,Thread Group 2-1,text,true,,235179,918,1,1,http://localhost:8000/dashboard,,1778,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566050633,1734,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,916,1,1,http://localhost:8000/dashboard,,1724,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566052367,1744,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,920,1,1,http://localhost:8000/dashboard,,1734,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566054111,1873,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,928,1,1,http://localhost:8000/dashboard,,1846,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566055984,1894,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1884,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566057878,1955,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,920,1,1,http://localhost:8000/dashboard,,1946,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566059834,1699,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,920,1,1,http://localhost:8000/dashboard,,1689,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566061534,1710,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,928,1,1,http://localhost:8000/dashboard,,1701,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566063244,1910,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,1900,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566065154,1723,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1713,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566066877,1866,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,1857,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566068745,1966,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,922,1,1,http://localhost:8000/dashboard,,1956,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566070711,2101,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,928,1,1,http://localhost:8000/dashboard,,2091,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566072813,2213,HTTP Request,200,OK,Thread Group 2-1,text,true,,235179,918,1,1,http://localhost:8000/dashboard,,2200,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566075026,2087,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,916,1,1,http://localhost:8000/dashboard,,2076,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566077113,1842,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1833,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566078956,2035,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,922,1,1,http://localhost:8000/dashboard,,2022,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566080991,1856,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,926,1,1,http://localhost:8000/dashboard,,1843,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566082847,1900,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,928,1,1,http://localhost:8000/dashboard,,1887,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566084747,1824,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,918,1,1,http://localhost:8000/dashboard,,1810,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566086572,1917,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1907,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566088488,1866,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1856,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566090354,1900,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,920,1,1,http://localhost:8000/dashboard,,1890,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566092255,1755,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1745,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566094011,1744,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,920,1,1,http://localhost:8000/dashboard,,1734,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566095755,1800,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,926,1,1,http://localhost:8000/dashboard,,1790,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566097555,1897,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,920,1,1,http://localhost:8000/dashboard,,1875,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566099452,1803,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,918,1,1,http://localhost:8000/dashboard,,1793,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566101256,1889,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,920,1,1,http://localhost:8000/dashboard,,1862,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566103146,1787,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,924,1,1,http://localhost:8000/dashboard,,1777,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566104933,1800,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,918,1,1,http://localhost:8000/dashboard,,1790,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566106733,1855,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,920,1,1,http://localhost:8000/dashboard,,1845,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566108588,2045,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,926,1,1,http://localhost:8000/dashboard,,2035,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566110633,1977,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,918,1,1,http://localhost:8000/dashboard,,1967,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566112610,3222,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,918,1,1,http://localhost:8000/dashboard,,3213,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566115833,1836,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,928,1,1,http://localhost:8000/dashboard,,1823,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566117669,1808,HTTP Request,200,OK,Thread Group 2-1,text,true,,235179,918,1,1,http://localhost:8000/dashboard,,1798,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566119477,1822,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,916,1,1,http://localhost:8000/dashboard,,1812,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566121299,1833,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,922,1,1,http://localhost:8000/dashboard,,1823,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566123132,1722,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,926,1,1,http://localhost:8000/dashboard,,1712,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566124854,1887,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,920,1,1,http://localhost:8000/dashboard,,1864,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566126741,1757,HTTP Request,200,OK,Thread Group 2-1,text,true,,235189,920,1,1,http://localhost:8000/dashboard,,1747,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544566128499,1867,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,926,1,1,http://localhost:8000/dashboard,,1857,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566130366,1800,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,924,1,1,http://localhost:8000/dashboard,,1790,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566132166,1699,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,924,1,1,http://localhost:8000/dashboard,,1690,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566133866,1973,HTTP Request,200,OK,Thread Group 2-1,text,true,,235191,918,1,1,http://localhost:8000/dashboard,,1953,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566135839,1805,HTTP Request,200,OK,Thread Group 2-1,text,true,,235193,928,1,1,http://localhost:8000/dashboard,,1795,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566137644,1818,HTTP Request,200,OK,Thread Group 2-1,text,true,,235187,930,1,1,http://localhost:8000/dashboard,,1797,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566139462,2161,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,924,1,1,http://localhost:8000/dashboard,,2149,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566141623,1945,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1933,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566143568,1897,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1887,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566145466,1867,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1856,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566147334,1909,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1886,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566149243,1888,HTTP Request,200,OK,Thread Group 2-1,text,true,,235185,922,1,1,http://localhost:8000/dashboard,,1879,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566151132,1900,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,922,1,1,http://localhost:8000/dashboard,,1890,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566153032,1927,HTTP Request,200,OK,Thread Group 2-1,text,true,,235179,920,1,1,http://localhost:8000/dashboard,,1917,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544566154959,1739,HTTP Request,200,OK,Thread Group 2-1,text,true,,235183,916,1,1,http://localhost:8000/dashboard,,1730,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544566156699,1755,HTTP Request,200,OK,Thread Group 2-1,text,true,,235181,920,1,1,http://localhost:8000/dashboard,,1746,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
